"id","tau_hat_log","trade_share","trade_share_normalized","trade_share_normalized_log","importer","exporter","distance","border","importer_is_OECD","exporter_is_OECD"
"BEN PHL",1.59800905644671,4.785783e-05,0.00010632181379998,-9.14904008388558,"BEN","PHL",12851.21,"0",0,0
"BEN PRT",1.678259833356,0.0004680334,0.0010397913989617,-6.86873516386874,"BEN","PRT",3784.826,"0",0,0
"BEN SWE",1.12693166058679,0.001851855,0.0041141142942453,-5.4933317063567,"BEN","SWE",6038.746,"0",0,1
"BEN TUN",0.759093331587345,0.00112182,0.00249225543985369,-5.99456717935597,"BEN","TUN",3476.428,"0",0,0
"BEN TUR",1.83184088447594,0.0009393114,0.00208679105949848,-6.17212777113685,"BEN","TUR",4662.242,"0",0,1
"BEN USA",1.49824540249984,0.02247858,0.0499388166418734,-2.9969566900085,"BEN","USA",8416.831,"0",0,1
"BEN ZWE",0.559440321169395,4.055748e-06,9.01032252560637e-06,-11.61713969058,"BEN","ZWE",4135.58,"0",0,0
"BGD AUS",1.07363676618769,0.004647392,0.0065566386115489,-5.02727721412744,"BGD","AUS",9077.625,"0",0,1
"BGD AUT",1.42137356103095,0.0004583192,0.000646606389806197,-7.34377281055939,"BGD","AUT",6911.951,"0",0,1
"BGD BEL",1.21581810035,0.00179509,0.00253255081671727,-5.97852825621165,"BGD","BEL",7724.392,"0",0,1
"BGD CAN",0.906906607083287,0.00174488,0.00246171349017243,-6.00689763078926,"BGD","CAN",12464.92,"0",0,1
"BGD DNK",1.12772244292227,0.002117751,0.00298776775796969,-5.81322873964205,"BGD","DNK",7103.063,"0",0,1
"BGD EGY",1.15900174776521,2.465139e-05,3.47787007212541e-05,-10.2665054068017,"BGD","EGY",5848.475,"0",0,0
"BGD ESP",1.34059144728548,0.0007437006,0.00104922848543701,-6.85970016066701,"BGD","ESP",8661.471,"0",0,1
"BGD ETH",1.44567876441291,2.268533e-06,3.20049418240873e-06,-12.6522053280793,"BGD","ETH",5705.66,"0",0,0
"BGD FIN",0.780626794652521,0.0004110581,0.000579929433551103,-7.45260412811695,"BGD","FIN",6389.695,"0",0,1
"BGD FRA",1.27218588565445,0.01112647,0.0156974584481448,-4.154256462016,"BGD","FRA",7916.79,"0",0,1
"BGD GBR",1.39381467341546,0.007517766,0.0106062227649808,-4.54631439681242,"BGD","GBR",8011.9,"0",0,1
"BGD GRC",1.53969298076101,0.0001606121,0.00022659493676065,-8.39234655401255,"BGD","GRC",6427.326,"0",0,1
"BGD IND",0.659397119597449,0.05604206,0.0790653197463739,-2.53748093592,"BGD","IND",1421.938,"1",0,0
"BGD IRL",1.10208191807518,0.0003444389,0.000485941661701752,-7.62942197891959,"BGD","IRL",8343.561,"0",0,1
"BGD ITA",1.42662121944978,0.00866277,0.0122216185475569,-4.40454888330927,"BGD","ITA",7311.514,"0",0,1
"BGD JAM",0.978366162535183,0.0002422793,0.000341812744257217,-7.98124750226337,"BGD","JAM",15191.35,"0",0,0
"BGD JPN",1.0643319241726,0.02730421,0.0385213551049362,-3.25654251341512,"BGD","JPN",4903.568,"0",0,1
"BGD KOR",1.15355044152415,0.03920448,0.0553105069066041,-2.89479239019014,"BGD","KOR",3800.079,"0",0,1
"BGD LKA",0.82447000727445,0.0005449772,0.000768865323160561,-7.17059473622711,"BGD","LKA",2179.09,"0",0,0
"BGD MWI",2.21348496819398,5.058828e-05,7.13710119438702e-05,-9.54761876624099,"BGD","MWI",7442.796,"0",0,0
"BGD NLD",1.39095172304987,0.001979597,0.00279285718215859,-5.88069012753395,"BGD","NLD",7651.716,"0",0,0
"BGD NOR",0.917442047127346,0.000125223,0.000176667248395226,-8.64124254728847,"BGD","NOR",7178.676,"0",0,1
"BGD NPL",0.43884129761114,3.478417e-05,4.90742403680776e-05,-9.9221762969215,"BGD","NPL",674.162,"0",0,0
"BGD NZL",1.1111139427066,0.0008392814,0.00118407589314498,-6.73879264563456,"BGD","NZL",11410.95,"0",0,1
"BGD PAK",1.01547586482867,0.006425921,0.00906582482032135,-4.70324344935904,"BGD","PAK",2010.818,"0",0,0
"BGD PHL",1.24206986448486,0.000103067,0.00014540909649466,-8.83595943296028,"BGD","PHL",3363.789,"0",0,0
"BGD PRT",1.70303065650395,1.104019e-05,1.55757328051595e-05,-11.0697964443071,"BGD","PRT",9162.36,"0",0,0
"BGD RWA",1.34173815769267,1.285502e-06,1.81361332300424e-06,-13.2201893916154,"BGD","RWA",7112.621,"0",0,0
"BGD SWE",1.08901350844854,0.002263844,0.00319387884235358,-5.74651916279746,"BGD","SWE",6767.017,"0",0,1
"BGD THA",0.975686306498832,0.005427086,0.0076566473445314,-4.87218107452255,"BGD","THA",1538.62,"0",0,0
"BGD TUN",1.65427017073925,2.495386e-06,3.52054317740327e-06,-12.5568952684968,"BGD","TUN",7625.121,"0",0,0
"BGD TUR",1.36452855776483,7.085384e-05,9.99620912375172e-05,-9.21071953147289,"BGD","TUR",5958.347,"0",0,1
"BGD USA",0.888972139861827,0.007767153,0.010958063202245,-4.51367972820186,"BGD","USA",12680.43,"0",0,1
"BGD ZMB",1.67937576354789,3.667461e-05,5.1741312974997e-05,-9.86925400512719,"BGD","ZMB",8035.376,"0",0,0
"BGD ZWE",1.98761765570462,1.134266e-06,1.60024638579382e-06,-13.3453529494528,"BGD","ZWE",7928.253,"0",0,0
"CAN AUS",0.692050980516917,0.001368885,0.00278168219141004,-5.88469942945794,"CAN","AUS",15586.66,"0",1,1
